val,cana,periodo,fecha,fechaF,ctec,flag,nombre,idai,uuidai,ides
69.0,190,6,1704495600000,2024-01-06 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
78.0,190,8,1704668400000,2024-01-08 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,15,1705273200000,2024-01-15 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,16,1705359600000,2024-01-16 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,17,1705446000000,2024-01-17 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,18,1705532400000,2024-01-18 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
78.0,190,19,1705618800000,2024-01-19 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,20,1705705200000,2024-01-20 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
74.0,190,21,1705791600000,2024-01-21 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,22,1705878000000,2024-01-22 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,23,1705964400000,2024-01-23 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,24,1706050800000,2024-01-24 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,25,1706137200000,2024-01-25 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
78.0,190,26,1706223600000,2024-01-26 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,27,1706310000000,2024-01-27 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
74.0,190,28,1706396400000,2024-01-28 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,29,1706482800000,2024-01-29 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,30,1706569200000,2024-01-30 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
72.0,190,31,1706655600000,2024-01-31 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,6,1707174000000,2024-02-06 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
78.0,190,7,1707260400000,2024-02-07 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,8,1707346800000,2024-02-08 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
78.0,190,9,1707433200000,2024-02-09 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
80.0,190,10,1707519600000,2024-02-10 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
73.0,190,11,1707606000000,2024-02-11 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
78.0,190,12,1707692400000,2024-02-12 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,13,1707778800000,2024-02-13 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,14,1707865200000,2024-02-14 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,15,1707951600000,2024-02-15 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
79.0,190,16,1708038000000,2024-02-16 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,17,1708124400000,2024-02-17 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
75.0,190,18,1708210800000,2024-02-18 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,19,1708297200000,2024-02-19 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,20,1708383600000,2024-02-20 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,21,1708470000000,2024-02-21 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
79.0,190,22,1708556400000,2024-02-22 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
81.0,190,23,1708642800000,2024-02-23 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
79.0,190,24,1708729200000,2024-02-24 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,25,1708815600000,2024-02-25 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
83.0,190,26,1708902000000,2024-02-26 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
80.0,190,27,1708988400000,2024-02-27 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
79.0,190,28,1709074800000,2024-02-28 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
82.0,190,29,1709161200000,2024-02-29 00:00:00,70,N,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
82.0,190,1,1709247600000,2024-03-01 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,2,1709334000000,2024-03-02 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
82.0,190,3,1709420400000,2024-03-03 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,4,1709506800000,2024-03-04 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
